source_rank,city,state,country,numbeo_quality_of_life_index,purchasing_power_index,safety_index,healthcare_index,cost_of_living_index,property_price_to_income_ratio,traffic_commute_index,pollution_index,climate_index,is_required_city,source_period,source_url,source_note
149,Riga,,Latvia,164.1,92.6,62.7,60.7,54.7,8.5,30.2,36.7,74.7,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
150,Tel Aviv-Yafo,,Israel,164.0,118.3,73.8,73.9,104.3,21.4,36.6,46.5,93.9,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
151,Pune,,India,163.9,156.8,58.7,65.6,21.5,7.5,44.2,71.3,74.3,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
152,Honolulu,HI,United States,163.8,103.6,52.7,72.5,101.9,9.6,40.4,37.1,95.3,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
153,Limassol,,Cyprus,163.8,114.5,59.9,50.9,63.3,8.6,23.0,56.6,95.7,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
154,Cluj-Napoca,,Romania,163.8,89.9,77.5,66.6,45.6,14.4,29.9,42.7,74.3,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
155,Riyadh,,Saudi Arabia,163.7,135.8,75.4,66.2,48.2,5.2,34.1,63.8,44.4,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
156,Poznan,,Poland,163.4,117.0,72.4,58.0,46.5,8.9,31.6,58.8,77.4,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
157,Ad Dammam,,Saudi Arabia,163.3,135.5,72.0,60.2,42.5,2.3,28.4,59.1,27.3,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
158,Las Vegas,NV,United States,162.7,149.0,44.7,53.6,69.1,5.0,27.1,51.5,57.4,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
