source_rank,city,state,country,region,latitude,longitude,numbeo_quality_of_life_index,purchasing_power_index,safety_index,healthcare_index,cost_of_living_index,property_price_to_income_ratio,traffic_commute_index,pollution_index,climate_index,is_required_city,source_period,source_url,source_note
114.0,Dubai,,United Arab Emirates,Middle East,25.2333,55.2833,180.4,145.2,83.8,70.0,61.7,7.2,36.3,49.3,50.3,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
115.0,Ljubljana,,Slovenia,Europe,46.0667,14.5,179.7,96.1,78.2,66.6,56.9,14.9,26.3,24.0,76.1,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
116.0,Milwaukee,WI,United States,North America,43.0333,-87.9,179.5,156.4,34.4,63.4,65.6,2.9,30.3,32.0,61.0,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
117.0,Berlin,,Germany,Europe,52.55,13.3667,179.5,141.1,55.4,66.1,70.7,9.9,33.2,38.0,83.3,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
118.0,Cleveland,OH,United States,North America,41.5,-81.7,179.0,146.3,36.1,71.9,63.5,2.2,31.5,39.6,73.1,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
119.0,Split,,Croatia,Europe,43.5167,16.4667,178.1,84.5,69.8,68.4,56.9,18.1,15.7,27.6,96.3,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
120.0,Houston,TX,United States,North America,29.75,-95.3667,177.9,176.8,36.9,69.4,63.3,2.5,41.8,56.7,85.5,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
,Osaka,,Japan,Asia,34.6667,135.5,177.65,116.17,67.05,82.16,43.31,10.4,34.58,46.93,84.32,True,current_rolling,https://www.numbeo.com/quality-of-life/in/Osaka,dataset_2_manual_required_city_addition; Osaka not listed on Numbeo current city rankings page due to insufficient contributors; values supplied from Osaka individual Numbeo quality-of-life page; source_rank intentionally blank and row inserted by quality-of-life index position.
121.0,Oakland,CA,United States,North America,37.8,-122.2667,177.4,155.4,31.4,72.0,83.1,6.5,36.5,42.4,96.4,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
122.0,Haifa,,Israel,Middle East,32.8167,34.9833,177.4,146.3,71.5,74.5,89.6,10.1,28.5,66.8,93.6,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
123.0,Kelowna,,Canada,North America,49.8879,-119.496,177.3,130.5,38.4,74.6,62.7,6.1,27.9,26.3,59.7,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
124.0,Bristol,,United Kingdom,Europe,51.45,-2.5833,177.2,132.0,56.7,73.2,70.1,8.6,31.1,47.4,88.5,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
