source_rank,city,state,country,numbeo_quality_of_life_index,purchasing_power_index,safety_index,healthcare_index,cost_of_living_index,property_price_to_income_ratio,traffic_commute_index,pollution_index,climate_index,is_required_city,source_period,source_url,source_note,quality_per_cost,low_pollution_score,low_traffic_score,cityfit_score,numbeo_qol_rank,cityfit_rank,rank_difference
19.0,Bern,,Switzerland,204.0,179.8,74.1,70.2,110.0,10.5,39.8,25.3,76.0,False,2026,https://www.numbeo.com/quality-of-life/rankings.jsp,2026 city ranking table,1.8545454545454545,74.7,60.2,69.45999999999998,19.0,24.0,-5.0
18.0,Stavanger,,Norway,204.1,139.1,74.9,71.8,82.7,6.2,32.3,20.6,80.0,False,2026,https://www.numbeo.com/quality-of-life/rankings.jsp,2026 city ranking table,2.467956469165659,79.4,67.7,68.714,18.0,25.0,-7.0
29.0,Hamburg,,Germany,197.6,146.9,60.3,76.4,71.9,9.2,30.5,26.7,82.8,False,2026,https://www.numbeo.com/quality-of-life/rankings.jsp,2026 city ranking table,2.748261474269819,73.3,69.5,68.456,29.0,26.0,3.0
36.0,Adelaide,,Australia,195.1,132.6,66.8,72.6,68.2,9.6,37.9,25.0,95.0,False,2026,https://www.numbeo.com/quality-of-life/rankings.jsp,2026 city ranking table,2.8607038123167152,75.0,62.1,67.938,36.0,27.0,9.0
35.0,Hobart,,Australia,195.2,139.6,66.0,64.2,70.8,6.7,37.7,25.3,90.6,False,2026,https://www.numbeo.com/quality-of-life/rankings.jsp,2026 city ranking table,2.7570621468926553,74.7,62.3,67.81300000000002,35.0,28.0,7.0
16.0,Bergen,,Norway,204.4,130.2,76.2,75.3,85.6,7.3,26.2,19.8,78.8,False,2026,https://www.numbeo.com/quality-of-life/rankings.jsp,2026 city ranking table,2.38785046728972,80.2,73.8,66.963,16.0,29.0,-13.0
23.0,Helsinki,,Finland,202.5,127.1,74.6,80.3,74.3,10.7,24.5,12.5,62.8,False,2026,https://www.numbeo.com/quality-of-life/rankings.jsp,2026 city ranking table,2.7254374158815615,87.5,75.5,66.95,23.0,30.0,-7.0
24.0,Zurich,,Switzerland,202.3,170.8,76.6,70.6,118.5,13.1,36.9,24.5,81.5,False,2026,https://www.numbeo.com/quality-of-life/rankings.jsp,2026 city ranking table,1.7071729957805908,75.5,63.1,66.548,24.0,31.0,-7.0
32.0,Liverpool,,United Kingdom,196.5,131.0,51.5,80.7,66.1,5.1,27.8,28.0,90.9,False,2026,https://www.numbeo.com/quality-of-life/rankings.jsp,2026 city ranking table,2.972768532526475,72.0,72.2,66.356,32.0,32.0,0.0
26.0,Trondheim,,Norway,200.0,131.0,78.9,75.8,84.9,6.6,31.0,20.7,66.7,False,2026,https://www.numbeo.com/quality-of-life/rankings.jsp,2026 city ranking table,2.3557126030624262,79.3,69.0,65.881,26.0,33.0,-7.0
30.0,Edinburgh,,United Kingdom,197.2,122.8,69.6,77.7,73.0,8.2,26.3,25.9,84.0,True,2026,https://www.numbeo.com/quality-of-life/rankings.jsp,2026 city ranking table,2.7013698630136984,74.1,73.7,65.798,30.0,34.0,-4.0
45.0,Tampa,FL,United States,189.2,145.4,55.5,66.8,70.0,3.9,36.5,33.7,84.7,True,2026,https://www.numbeo.com/quality-of-life/rankings.jsp,2026 city ranking table,2.702857142857143,66.3,63.5,65.671,37.0,35.0,2.0
27.0,Lausanne,,Switzerland,198.6,169.2,71.9,70.9,111.5,12.1,33.3,26.9,73.3,False,2026,https://www.numbeo.com/quality-of-life/rankings.jsp,2026 city ranking table,1.7811659192825111,73.1,66.7,65.43299999999999,27.0,36.0,-9.0
25.0,Geneva,,Switzerland,200.4,164.4,70.6,72.6,116.5,13.0,32.6,24.4,82.6,False,2026,https://www.numbeo.com/quality-of-life/rankings.jsp,2026 city ranking table,1.7201716738197426,75.6,67.4,64.644,25.0,37.0,-12.0
110.0,Tokyo,,Japan,175.4,121.7,74.9,78.7,54.2,15.2,42.7,43.0,85.3,True,2026,https://www.numbeo.com/quality-of-life/rankings.jsp,2026 city ranking table,3.236162361623616,57.0,57.3,64.61900000000001,41.0,38.0,3.0
