source_rank,city,state,country,region,latitude,longitude,numbeo_quality_of_life_index,purchasing_power_index,safety_index,healthcare_index,cost_of_living_index,property_price_to_income_ratio,traffic_commute_index,pollution_index,climate_index,is_required_city,source_period,source_url,source_note,purchasing_power_score,safety_score,healthcare_score,climate_score,affordability_score,housing_affordability_score,low_pollution_score,low_traffic_score,personalization_adjustment,practical_score,daily_life_score,food_scene_score,culture_score,outdoors_score,transit_score,airport_score,nightlife_score,friendliness_score,pace_of_life,baseline_lifestyle_score,data_quality,method_version,lifestyle_score,lifestyle_fit_score
114.0,Dubai,,United Arab Emirates,Middle East,25.2333,55.2833,180.4,145.2,83.8,70.0,61.7,7.2,36.3,49.3,50.3,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code,70.22821576763485,93.03977272727272,64.5360824742268,42.05607476635513,57.35849056603774,94.83101391650099,55.769230769230774,60.836501901140686,68.87329214772815,179.1,90.2,82.5,71.6,36.4,86.7,96.7,60.5,,moderate,75.3,partial_daily_life_food_nightlife_culture_outdoors_transit_airport_pace,free_proxy_v1,75.3,140.8
115.0,Ljubljana,,Slovenia,Europe,46.0667,14.5,179.7,96.1,78.2,66.6,56.9,14.9,26.3,24.0,76.1,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code,44.761410788381745,85.08522727272727,57.525773195876276,72.19626168224298,61.88679245283019,87.17693836978131,86.17788461538461,79.84790874524714,71.92681161790382,182.5,65.5,62.8,72.3,39.9,48.9,77.0,56.1,,slow,60.0,partial_daily_life_food_nightlife_culture_outdoors_transit_airport_pace,free_proxy_v1,60.0,66.8
116.0,Milwaukee,WI,United States,North America,43.0333,-87.9,179.5,156.4,34.4,63.4,65.6,2.9,30.3,32.0,61.0,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code,76.03734439834025,22.869318181818176,50.92783505154639,54.55607476635513,53.67924528301887,99.10536779324056,76.5625,72.24334600760456,63.2265084051801,171.7,68.9,62.0,77.3,65.7,50.3,81.5,63.2,,moderate,66.5,partial_daily_life_food_nightlife_culture_outdoors_transit_airport_pace,free_proxy_v1,66.5,97.4
117.0,Berlin,,Germany,Europe,52.55,13.3667,179.5,141.1,55.4,66.1,70.7,9.9,33.2,38.0,83.3,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code,68.10165975103735,52.698863636363626,56.49484536082472,80.607476635514,48.867924528301884,92.14711729622266,69.35096153846155,66.73003802281367,68.17764454291084,177.8,97.1,88.0,98.3,88.0,95.6,92.9,98.1,,moderate,94.0,partial_daily_life_food_nightlife_culture_outdoors_transit_airport_pace,free_proxy_v1,94.0,233.3
118.0,Cleveland,OH,United States,North America,41.5,-81.7,179.0,146.3,36.1,71.9,63.5,2.2,31.5,39.6,73.1,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code,70.79875518672199,25.284090909090907,68.45360824742268,68.69158878504672,55.660377358490564,99.80119284294234,67.42788461538461,69.96197718631178,65.83672889933126,174.6,64.7,59.9,66.8,59.0,64.8,84.8,56.5,,moderate,64.6,partial_daily_life_food_nightlife_culture_outdoors_transit_airport_pace,free_proxy_v1,64.6,88.5
119.0,Split,,Croatia,Europe,43.5167,16.4667,178.1,84.5,69.8,68.4,56.9,18.1,15.7,27.6,96.3,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code,38.74481327800831,73.15340909090908,61.23711340206186,95.79439252336448,61.88679245283019,83.99602385685884,81.85096153846153,100.0,74.25078255170646,184.5,77.9,74.5,68.0,37.8,60.6,82.0,68.7,,slow,66.8,partial_daily_life_food_nightlife_culture_outdoors_transit_airport_pace,free_proxy_v1,66.8,98.8
120.0,Houston,TX,United States,North America,29.75,-95.3667,177.9,176.8,36.9,69.4,63.3,2.5,41.8,56.7,85.5,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code,86.61825726141079,26.42045454545454,63.29896907216496,83.17757009345794,55.84905660377359,99.50298210735586,46.875,50.380228136882124,65.99821498243394,174.2,70.3,61.7,74.1,36.2,71.4,89.6,55.7,,moderate,65.1,partial_daily_life_food_nightlife_culture_outdoors_transit_airport_pace,free_proxy_v1,65.1,90.8
,Osaka,,Japan,Asia,34.6667,135.5,177.65,116.17,67.05,82.16,43.31,10.4,34.58,46.93,84.32,True,current_rolling,https://www.numbeo.com/quality-of-life/in/Osaka,dataset_2_manual_required_city_addition; Osaka not listed on Numbeo current city rankings page due to insufficient contributors; values supplied from Osaka individual Numbeo quality-of-life page; source_rank intentionally blank and row inserted by quality-of-life index position.,55.171161825726145,69.24715909090908,89.60824742268039,81.79906542056074,74.70754716981132,91.65009940357852,58.61778846153846,64.10646387832699,73.38412755435189,183.2,95.2,89.7,88.7,42.7,99.6,78.2,83.7,,moderate,83.3,partial_daily_life_food_nightlife_culture_outdoors_transit_airport_pace,free_proxy_v1,83.3,180.3
121.0,Oakland,CA,United States,North America,37.8,-122.2667,177.4,155.4,31.4,72.0,83.1,6.5,36.5,42.4,96.4,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code,75.51867219917014,18.60795454545454,68.65979381443297,95.91121495327103,37.16981132075472,95.52683896620279,64.0625,60.45627376425855,65.8695399895594,173.8,85.8,75.0,85.3,63.2,77.1,88.8,66.6,,moderate,77.8,partial_daily_life_food_nightlife_culture_outdoors_transit_airport_pace,free_proxy_v1,77.8,153.2
122.0,Haifa,,Israel,Middle East,32.8167,34.9833,177.4,146.3,71.5,74.5,89.6,10.1,28.5,66.8,93.6,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code,70.79875518672199,75.56818181818181,73.81443298969072,92.64018691588784,31.037735849056617,91.94831013916502,34.735576923076934,75.66539923954372,71.16862960913029,180.3,68.6,62.7,55.7,47.4,73.2,60.4,38.6,,slow,59.5,partial_daily_life_food_nightlife_culture_outdoors_transit_airport_pace,free_proxy_v1,59.5,64.4
123.0,Kelowna,,Canada,North America,49.8879,-119.496,177.3,130.5,38.4,74.6,62.7,6.1,27.9,26.3,59.7,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code,62.603734439834035,28.55113636363636,74.02061855670101,53.0373831775701,56.41509433962264,95.92445328031809,83.41346153846155,76.80608365019012,65.08303189770132,172.8,53.5,52.3,35.3,46.5,28.5,73.4,27.6,,slow,45.2,partial_daily_life_food_nightlife_culture_outdoors_transit_airport_pace,free_proxy_v1,45.2,0.0
124.0,Bristol,,United Kingdom,Europe,51.45,-2.5833,177.2,132.0,56.7,73.2,70.1,8.6,31.1,47.4,88.5,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code,63.38174273858922,54.545454545454554,71.1340206185567,86.6822429906542,49.43396226415094,93.43936381709742,58.05288461538462,70.72243346007605,69.64165070958613,178.3,64.4,58.4,76.1,55.9,58.2,88.0,48.7,,moderate,63.8,partial_daily_life_food_nightlife_culture_outdoors_transit_airport_pace,free_proxy_v1,63.8,84.7
125.0,Birmingham,,United Kingdom,Europe,52.4833,-1.8833,177.1,163.2,36.0,70.8,69.5,6.1,33.4,51.0,87.7,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code,79.5643153526971,25.142045454545453,66.18556701030927,85.74766355140187,50.0,95.92445328031809,53.72596153846154,66.34980988593156,66.58290548931463,174.5,82.5,72.6,74.8,52.0,74.9,89.4,67.8,,moderate,73.4,partial_daily_life_food_nightlife_culture_outdoors_transit_airport_pace,free_proxy_v1,73.4,131.4
126.0,Brno,,Czech Republic,Europe,49.2167,16.6667,176.9,107.6,75.2,76.1,52.6,15.3,26.2,39.9,78.2,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code,50.72614107883818,80.82386363636364,77.11340206185565,74.64953271028037,65.94339622641509,86.779324055666,67.0673076923077,80.03802281368822,72.96304210159889,182.3,79.9,70.3,79.3,55.3,71.0,50.6,73.8,,slow,69.8,partial_daily_life_food_nightlife_culture_outdoors_transit_airport_pace,free_proxy_v1,69.8,113.6
127.0,Mississauga,,Canada,North America,43.589,-79.6441,176.5,129.9,56.1,70.2,61.8,11.5,35.6,23.5,58.7,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code,62.292531120331965,53.69318181818181,64.94845360824742,51.86915887850467,57.26415094339623,90.55666003976143,86.77884615384616,62.16730038022813,65.87760488708878,173.4,81.8,70.3,45.1,33.7,45.6,94.6,44.9,,moderate,59.5,partial_daily_life_food_nightlife_culture_outdoors_transit_airport_pace,free_proxy_v1,59.5,64.4
128.0,Baltimore,MD,United States,North America,39.2833,-76.6167,176.4,166.5,28.8,72.2,72.4,2.8,31.7,52.0,81.2,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code,81.2759336099585,14.914772727272727,69.0721649484536,78.15420560747664,47.264150943396224,99.20477137176938,52.52403846153847,69.58174904942965,64.87666283775339,172.1,75.0,65.6,76.3,53.3,83.3,87.7,65.5,,moderate,72.1,partial_daily_life_food_nightlife_culture_outdoors_transit_airport_pace,free_proxy_v1,72.1,125.0
